Espèces,Année,Effectif total
Milan royal,2016,561
Milan royal,2017,2991
Milan royal,2018,969
Milan royal,2019,1780
Milan royal,2020,772
Milan royal,2021,6840
Milan royal,2022,3567
Milan royal,2023,3220
